1,Inception,SF,2010
2,Parasite,Drama,2019
3,Interstellar,SF,2014
4,About Time,Romance,2013
5,The Dark Knight,Action,2008
6,La La Land,Musical,2016
7,Avatar,SF,2009
8,Toy Story,Animation,1995
9,The Matrix,SF,1999
10,Gladiator,Action,2000
11,Titanic,Romance,1997
12,Whiplash,Drama,2014
13,Spirited Away,Animation,2001
14,The Godfather,Crime,1972
15,Forrest Gump,Drama,1994
16,Fight Club,Drama,1999
17,Pulp Fiction,Crime,1994
18,The Lion King,Animation,1994
19,Your Name,Animation,2016
20,Zootopia,Animation,2016
21,The Avengers,Action,2012
22,Joker,Crime,2019
23,Coco,Animation,2017
24,Iron Man,Action,2008
25,The Shawshank Redemption,Drama,1994
26,Star Wars,SF,1977
27,Notebook,Romance,2004
28,Frozen,Animation,2013
29,The Prestige,Mystery,2006
30,Memento,Mystery,2000
